Carp,1.50,core
POSIX,1.84,core
Config-Simple,4.58,install
ExtUtils-Config,0.008,install
ExtUtils-Helpers,0.026,install
ExtUtils-InstallPaths,0.012,install
Module-Build-Tiny,0.039,install
MooseX-Singleton,0.30,install
BioPerl,1.7.7,install
